
# Surface 0 of 1 surfaces

# Curve title: ""PPEReaction_contourtmp0.dat""

# Contour 0, label:       10
-0.394952  1.54456  6 
-0.402487  1.55554  6 
-0.430946  1.59595  6 
-0.447476  1.61883  6 
-0.459033  1.63635  6 
-0.486346  1.67675  6 
-0.5  1.69647  6 

 4.69987  1.73056  6 
 4.64735  1.72463  6 
 4.59482  1.71857  6 
 4.58257  1.71716  6 
 4.5423  1.71241  6 
 4.48978  1.70641  6 
 4.43725  1.70077  6 
 4.38473  1.69565  6 
 4.3322  1.6912  6 
 4.27968  1.6876  6 
 4.22716  1.68496  6 
 4.17463  1.68342  6 
 4.12211  1.68308  6 
 4.06959  1.684  6 
 4.01706  1.68624  6 
 3.96454  1.68979  6 
 3.91201  1.69467  6 
 3.85949  1.70078  6 
 3.80697  1.70804  6 
 3.75444  1.71633  6 
 3.74969  1.71716  6 
 3.70192  1.7253  6 
 3.64939  1.73488  6 
 3.59687  1.74492  6 
 3.54435  1.75517  6 
 3.53201  1.75756  6 
 3.49182  1.76517  6 
 3.4393  1.77481  6 
 3.38677  1.78386  6 
 3.33425  1.79206  6 
 3.29043  1.79797  6 
 3.28173  1.79911  6 
 3.2292  1.80472  6 
 3.17668  1.80876  6 
 3.12415  1.81108  6 
 3.07163  1.81149  6 
 3.01911  1.80991  6 
 2.96658  1.80626  6 
 2.91406  1.80052  6 
 2.89685  1.79797  6 
 2.86153  1.79262  6 
 2.80901  1.78263  6 
 2.75649  1.77081  6 
 2.70476  1.75756  6 
 2.70396  1.75735  6 
 2.65144  1.74219  6 
 2.59891  1.72595  6 
 2.57178  1.71716  6 
 2.54639  1.70874  6 
 2.49387  1.69106  6 
 2.45117  1.67675  6 
 2.44134  1.67338  6 
 2.38882  1.65598  6 
 2.33629  1.63967  6 
 2.32447  1.63635  6 
 2.28377  1.62465  6 
 2.23125  1.61162  6 
 2.17872  1.60118  6 
 2.14204  1.59595  6 
 2.1262  1.59363  6 
 2.07367  1.58935  6 
 2.02115  1.58877  6 
 1.96863  1.5921  6 
 1.94126  1.59595  6 
 1.9161  1.59939  6 
 1.86358  1.61053  6 
 1.81106  1.62556  6 
 1.78081  1.63635  6 
 1.75853  1.64411  6 
 1.70601  1.6657  6 
 1.68236  1.67675  6 
 1.65348  1.68993  6 
 1.60096  1.71628  6 
 1.59933  1.71716  6 
 1.54844  1.74384  6 
 1.52334  1.75756  6 
 1.49591  1.77222  6 
 1.44852  1.79797  6 
 1.44339  1.80069  6 
 1.39086  1.82837  6 
 1.37114  1.83837  6 
 1.33834  1.85464  6 
 1.28658  1.87877  6 
 1.28582  1.87912  6 
 1.23329  1.90063  6 
 1.18077  1.91911  6 
 1.18054  1.91918  6 
 1.12824  1.93358  6 
 1.07572  1.94389  6 
 1.0232  1.94935  6 
 0.970672  1.94988  6 
 0.918148  1.94489  6 
 0.865624  1.93449  6 
 0.815618  1.91918  6 
 0.8131  1.91839  6 
 0.760576  1.89651  6 
 0.726315  1.87877  6 
 0.708052  1.86911  6 
 0.658888  1.83837  6 


# Contour 5, label:        5
 2.43712 -1.51515  5 
 2.44134 -1.51666  5 
 2.49387 -1.53612  5 
 2.54614 -1.55556  5 
 2.54639 -1.55565  5 
 2.59891 -1.57441  5 
 2.65144 -1.59232  5 
 2.66288 -1.59596  5 
 2.70396 -1.60871  5 
 2.75649 -1.62351  5 
 2.80841 -1.63636  5 
 2.80901 -1.63651  5 
 2.86153 -1.64722  5 
 2.91406 -1.65576  5 
 2.96658 -1.66206  5 
 3.01911 -1.66607  5 
 3.07163 -1.66781  5 
 3.12415 -1.66735  5 
 3.17668 -1.66481  5 
 3.2292 -1.66037  5 
 3.28173 -1.65422  5 
 3.33425 -1.64662  5 
 3.38677 -1.63783  5 
 3.39469 -1.63636  5 
 3.4393 -1.62791  5 
 3.49182 -1.61731  5 
 3.54435 -1.60637  5 
 3.59393 -1.59596  5 
 3.59687 -1.59533  5 
 3.64939 -1.58426  5 
 3.70192 -1.5737  5 
 3.75444 -1.56383  5 
 3.80307 -1.55556  5 
 3.80697 -1.55488  5 
 3.85949 -1.54686  5 
 3.91201 -1.5401  5 
 3.96454 -1.53472  5 
 4.01706 -1.53079  5 
 4.06959 -1.52831  5 
 4.12211 -1.52729  5 
 4.17463 -1.52767  5 
 4.22716 -1.52937  5 
 4.27968 -1.53229  5 
 4.3322 -1.53627  5 
 4.38473 -1.54118  5 
 4.43725 -1.54685  5 
 4.48978 -1.55308  5 
 4.50937 -1.55556  5 
 4.5423 -1.55961  5 
 4.59482 -1.56627  5 
 4.64735 -1.57296  5 
 4.69987 -1.5795  5 

-0.5 -1.5421  5 
-0.483119 -1.51515  5 
-0.45847 -1.47475  5 
-0.447476 -1.45623  5 
-0.433248 -1.43435  5 
-0.407708 -1.39394  5 
-0.394952 -1.37317  5 
-0.381317 -1.35354  5 
-0.354082 -1.31313  5 
-0.342428 -1.2953  5 
-0.325059 -1.27273  5 
-0.294944 -1.23233  5 
-0.289904 -1.22534  5 
-0.260103 -1.19192  5 
-0.23738 -1.16556  5 
-0.221264 -1.15152  5 
-0.184856 -1.11865  5 
-0.172239 -1.11111  5 
-0.132332 -1.08639  5 
-0.0799978 -1.07071  5 
-0.0798081 -1.07065  5 
-0.0723914 -1.07071  5 
-0.0272841 -1.07106  5 
 0.0252399 -1.0869  5 
 0.0677192 -1.11111  5 
 0.0777639 -1.11664  5 
 0.122199 -1.15152  5 
 0.130288 -1.15765  5 
 0.166327 -1.19192  5 
 0.182812 -1.20708  5 
 0.206263 -1.23233  5 
 0.235336 -1.26262  5 
